,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
10622,487,LIM262,PoweredLCGAGM7XUUZCI,,,,36.158296,-86.783128,125.30461792375485
10623,4188,LIM269,PoweredDJSFUDXDMQPEI,36.161929,-86.774089,106.5729349148426,,,
10624,4188,LIM324,PoweredV6XL57V5SBRMB,,,,36.16162,-86.773473,108.53152426570232
10625,4188,LIM349,PoweredSZYPIHG2GVR35,,,,36.161325,-86.774368,249.6018825419662
10626,4188,LIM367,PoweredRHQQV3U6OAAES,36.16116,-86.773825,235.54874212527238,,,
10627,114,LIM576,PoweredGXZX62L6YWKLP,,,,36.151515,-86.798806,177.52022323425166
10628,4188,LIM593,PoweredZVJWKTABQJ25L,36.162057,-86.774389,206.58436084630353,,,
10629,4188,LIM807,PoweredTM4WQQLA7MFNL,36.161907,-86.77412,111.9094759774051,,,
10630,4188,LIM615,PoweredYPV5BYWBUHVIE,,,,36.161497,-86.773338,167.91172546630818
10631,4418,LIM629,PoweredUSLZ73XB77IDW,36.166209,-86.781959,124.15722546808061,,,
10635,4596,LIM639,PoweredFCL4YUGQP4RYP,36.158001,-86.784224,170.23248556057575,,,
10637,4188,LIM666,PoweredZVJWKTABQJ25L,,,,36.162037,-86.774122,136.0487795881008
10639,4188,LIM667,PoweredOJFHQP5R57XW6,,,,36.162079,-86.774237,172.3231654813328
10641,487,LIM697,Powered7AQM6B2KMN3BL,,,,36.1583,-86.78376,68.10206422248064
10642,4188,LIM765,PoweredOX3J7UPLB356D,36.16207,-86.774198,161.12461456039853,,,
10643,4188,LIM766,PoweredOJFHQP5R57XW6,,,,36.162158,-86.774106,164.43569694465594
10644,4188,LIM871,Powered2PIIROGN76GLF,36.162072,-86.774094,138.48388985168964,,,
10645,4188,LIM950,PoweredTM4WQQLA7MFNL,,,,36.16202,-86.774155,140.14755127178358
10646,4188,LIM1110,Powered5NUMEP42WX32F,36.161956,-86.774172,132.91595887177903,,,
10647,487,LIM1135,PoweredK5EMMFQJSUW6M,36.158277,-86.783186,110.45697576953351,,,
10648,4188,LIM1166,PoweredM6NPM3IBHL2YR,36.161339,-86.77324,229.1285364027351,,,
10649,4188,LIM1208,PoweredLAXX65AIGQ27Q,36.16149,-86.773441,148.60239898228863,,,
10650,114,LIM1505,PoweredQWNF6PDP3ATCN,36.150798,-86.798882,104.43474756620915,,,
10651,4188,LIM1415,PoweredJ4IC5R25IGYGI,,,,36.161471,-86.773405,160.76615925251517
10652,114,LIM1561,PoweredDR74OUO52HDXZ,36.151601,-86.799046,197.3580361032629,,,
10653,114,LIM1635,PoweredV3KMSJX3XYDPO,36.151245,-86.799593,181.57819358295905,,,
10654,4188,LIM1654,PoweredCC7Z4AWWQVMMK,36.16146,-86.773718,125.97217092259955,,,
10655,4418,LIM1690,PoweredM6OBTMUO2WPSM,36.166151,-86.781638,162.6299946870829,,,
10661,4188,LIM1673,PoweredVQNOQ7XBKSFLB,36.161453,-86.773851,130.43500585884144,,,
10662,114,LIM1677,PoweredV3KMSJX3XYDPO,,,,36.15108,-86.79962,176.78395411610964
10663,4425,LIM1704,PoweredHICJ5XYHBAW5I,36.166982,-86.780629,247.08861122549436,,,
