,Bus Stop,Trip ID,Scooter ID,EndLat,EndLong,End To Bus,StartLat,StartLong,Start to Bus
0,4418,BRD5032,PoweredPXIRJ,36.166,-86.782,201.43962934396131,,,
3,4596,BRD669,Powered8YV8Q,,,,36.1576,-86.7843,109.44024492795153
5,4422,BRD1246,PoweredCVS39,,,,36.1664,-86.7809,104.88452443728987
8,487,BRD1429,Powered41A5D,36.158,-86.783,208.80742705371634,,,
9,4188,BRD1835,PoweredQM75C,,,,36.1623,-86.7741,206.9350603310711
11,4188,BRD1927,PoweredYFXV9,36.1612,-86.7737,221.01139639337498,,,
12,4596,BRD2341,Powered4JJJC,,,,36.1571,-86.7845,220.21456795486384
14,4592,BRD2923,PoweredMUVL3,36.1388,-86.8005,52.85749614349076,,,
16,125,BRD2983,PoweredH3L45,36.1442,-86.7997,53.59392629659987,,,
17,4188,BRD3254,PoweredUX2J7,36.162,-86.7743,173.9216958877437,,,
18,4596,BRD3797,PoweredNUITK,,,,36.1578,-86.7844,84.99353166252205
20,4188,BRD4714,PoweredUWM4H,,,,36.1621,-86.7741,147.10603386407732
21,4422,BRD4652,PoweredYAXFE,36.1662,-86.7805,242.4749601429537,,,
22,4188,BRD5348,PoweredYUJHX,,,,36.1618,-86.7742,128.86022627845517
23,4422,BRD5350,PoweredL921X,,,,36.1661,-86.7808,194.28892506162958
24,4418,BRD5567,Powered8FK2M,36.1664,-86.7823,130.62883758267853,,,
27,4596,BRD5879,PoweredYBUMS,36.1576,-86.7842,137.85155152054207,,,
28,4592,BRD5915,PoweredU1QWL,36.1393,-86.801,243.42940639128003,,,
29,114,BRD48,Powered592MA,36.1514,-86.7993,148.6564361489527,,,
30,4422,BRD98,PoweredP4EJH,36.167,-86.7812,182.5056977814309,,,
33,4418,BRD126,PoweredAC7JS,,,,36.1659,-86.7818,237.22813107679053
35,4188,BRD1308,PoweredCPIHC,,,,36.162,-86.7742,147.5816942114313
36,4188,BRD1505,Powered3B6IG,36.1622,-86.774,160.955493366147,,,
37,4422,BRD1736,PoweredLLSRQ,,,,36.1671,-86.7813,219.65852674174832
40,4429,BRD1732,PoweredM6NQ7,36.1657,-86.7823,241.73416308015484,,,
41,4592,BRD1900,PoweredPR9SN,,,,36.1393,-86.8004,228.61200777106583
42,4596,BRD2363,PoweredBHWAX,36.1581,-86.7841,221.60746252305609,,,
44,4616,BRD2367,PoweredSXDH3,,,,36.1691,-86.7871,230.97216363198197
45,4596,BRD2676,PoweredG7XBR,36.1576,-86.7848,54.165961704433975,,,
46,4616,BRD2900,Powered1YCQ7,,,,36.1688,-86.7866,103.07693300897321
48,4425,BRD2983,PoweredMEALS,36.1672,-86.7816,166.09088654247338,,,
50,4188,BRD3495,Powered57FI9,36.1621,-86.7745,242.88169786647924,,,
51,4596,BRD3767,PoweredNQGZ7,36.1579,-86.7846,78.33231998952884,,,
52,4188,BRD3777,PoweredKT8SG,,,,36.162,-86.7745,228.9153323291749
53,4616,BRD3781,PoweredUJAR4,,,,36.1688,-86.7863,159.81853351915174
54,4616,BRD3862,PoweredTULVE,36.1688,-86.7867,95.54928562455122,,,
55,4249,BRD4014,Powered6YP5Z,,,,36.1498,-86.8011,204.58935076619463
56,4422,BRD4119,PoweredDUDFB,36.1663,-86.7811,83.22728083845134,,,
60,4596,BRD4120,PoweredWC2TH,,,,36.1577,-86.7842,133.9250767388644
61,4596,BRD4324,Powered1YCQ7,36.1581,-86.7845,156.47572406254938,,,
62,4596,BRD4426,Powered7JMWR,,,,36.1581,-86.7841,221.60746252305609
64,4596,BRD4658,PoweredPZS7B,36.1577,-86.7843,104.45119479280218,,,
65,4596,BRD4659,PoweredCAJE7,36.1578,-86.7843,111.85119589643159,,,
66,4616,BRD5042,PoweredV12UI,,,,36.168,-86.7866,201.25532203530727
67,4596,BRD5479,PoweredZ56GV,36.1582,-86.7841,247.75289588895882,,,
69,4616,BRD5711,PoweredFT8VS,,,,36.1687,-86.7861,196.4113568262979
70,4429,BRD6159,PoweredI9ULK,36.1658,-86.7819,168.03116591815433,,,
71,4418,BRD6156,PoweredFAKTM,36.166,-86.7821,208.02140506107972,,,
74,4418,BRD6160,PoweredZPKTI,36.166,-86.782,201.43962934396131,,,
77,4431,BRD6522,PoweredYAYL4,36.167,-86.7826,232.67417088419796,,,
78,4596,BRD6781,PoweredKDARL,,,,36.1581,-86.7845,156.47572406254938
80,4596,BRD6782,Powered698M5,36.1577,-86.7849,72.63222564912724,,,
82,487,BRD6900,PoweredKDARL,,,,36.158,-86.7838,153.5142187806214
83,487,BRD6899,Powered698M5,,,,36.1579,-86.7837,176.30092223696798
84,4596,BRD7020,Powered1YCQ7,,,,36.1582,-86.7842,229.38308892818597
87,4596,BRD7018,PoweredCP47V,,,,36.1582,-86.7841,247.75289588895882
89,4188,BRD7089,PoweredJEH79,,,,36.1619,-86.7744,191.13998873829118
90,4596,BRD7319,Powered1GT96,36.1579,-86.7839,235.19554736823497,,,
92,4188,BRD7489,PoweredJEH79,36.162,-86.7742,147.5816942114313,,,
93,4418,BRD7728,Powered7HKY5,,,,36.1662,-86.7817,138.49965694418572
99,4188,BRD8265,PoweredDUC85,36.1614,-86.7737,148.35242097990897,,,
100,125,BRD250,PoweredCZZIB,36.1448,-86.7999,189.054240072049,,,
101,4422,BRD320,Powered72PTV,,,,36.1664,-86.7804,248.36174681009157
102,4249,BRD430,PoweredBGY9T,36.1496,-86.8008,91.19616838150773,,,
103,4592,BRD587,PoweredR8DM1,,,,36.1381,-86.8006,220.44430191964273
105,4592,BRD589,PoweredFMWV1,,,,36.1382,-86.8009,199.87539787598678
109,114,BRD824,Powered3B6IG,36.1512,-86.7983,218.6022581577979,,,
110,4429,BRD825,PoweredYUME2,,,,36.1657,-86.7814,245.26868678888033
112,4616,BRD958,Powered7I5QD,36.1684,-86.7863,138.345367409953,,,
113,4616,BRD957,PoweredAHPGT,36.1686,-86.7868,28.918158033975303,,,
114,4596,BRD1170,PoweredAEG28,36.1579,-86.7839,235.19554736823497,,,
116,4596,BRD2218,Powered973A3,,,,36.1579,-86.7841,180.47123492577492
120,4596,BRD2716,Powered9UUEB,36.1578,-86.7841,168.23048415619212,,,
121,4188,BRD2763,PoweredTFHB9,,,,36.1615,-86.7741,148.7294736120864
122,4596,BRD2919,Powered434LT,,,,36.1576,-86.7853,193.30735799946052
123,4422,BRD3171,PoweredR2CYS,,,,36.1671,-86.7813,219.65852674174832
126,487,BRD3227,PoweredQ69LL,,,,36.1581,-86.7838,123.03051846632395
128,487,BRD3305,PoweredMPXLP,,,,36.1579,-86.7838,186.1839824158763
130,4188,BRD3389,Powered336IH,,,,36.1621,-86.7739,115.74908953356656
132,4188,BRD3396,PoweredICAFX,36.162,-86.7743,173.9216958877437,,,
133,125,BRD3611,PoweredJSUHU,36.144,-86.7998,104.72517815055431,,,
134,487,BRD3977,Powered62E7E,,,,36.1581,-86.7837,107.48980177575261
135,4418,BRD4427,Powered74YE6,36.1661,-86.7823,201.67687582864946,,,
138,487,BRD4508,Powered31GTT,,,,36.1584,-86.7829,190.30625474371374
139,487,BRD4507,PoweredYIPVP,,,,36.1583,-86.7829,191.42454669518736
140,487,BRD4506,Powered73AST,,,,36.1583,-86.7828,220.70876784419733
141,4188,BRD4548,PoweredR6YG5,,,,36.1621,-86.7745,242.88169786647924
143,487,BRD4623,PoweredVMYBT,36.1584,-86.7835,17.959284430129642,,,
144,4188,BRD4619,PoweredBHHGX,36.1617,-86.7741,106.2513706357462,,,
145,487,BRD4625,PoweredNRET6,36.1584,-86.7834,44.24070848749825,,,
146,4422,BRD60,PoweredL5LJY,36.1671,-86.7813,219.65852674174832,,,
149,4596,BRD246,Powered41V7U,,,,36.1576,-86.7844,81.79464606701977
150,4596,BRD247,PoweredGX725,,,,36.1576,-86.7844,81.79464606701977
151,4596,BRD248,PoweredVZU3B,,,,36.1576,-86.7845,56.059263311107124
152,4188,BRD417,PoweredZAWRY,36.1622,-86.7741,175.7762090652773,,,
153,4188,BRD416,PoweredMWV58,36.1622,-86.7741,175.7762090652773,,,
154,487,BRD607,PoweredNRET6,,,,36.158,-86.7837,141.36534161651846
155,4596,BRD606,Powered3X92W,,,,36.1581,-86.7841,221.60746252305609
157,4188,BRD651,PoweredQQCFJ,36.1612,-86.7737,221.01139639337498,,,
158,4596,BRD703,PoweredQ2XPK,,,,36.1576,-86.7849,79.64011635197735
159,4429,BRD755,PoweredVEBVX,36.1657,-86.782,208.23253345473032,,,
160,125,BRD765,PoweredPHVAG,,,,36.1438,-86.7995,204.55223415233468
161,4188,BRD1025,PoweredAKEA4,,,,36.162,-86.7744,201.1368868950618
163,4596,BRD1087,Powered4TCGH,,,,36.1575,-86.7844,102.10399377683497
164,4596,BRD1086,Powered6EIKX,,,,36.1574,-86.7843,148.7099747192463
165,4592,BRD1237,PoweredMPK9Z,,,,36.1392,-86.8004,194.08979095995514
166,487,BRD1378,PoweredZJXY9,36.1582,-86.7839,121.22562726352035,,,
167,487,BRD1604,PoweredQBLE3,36.1577,-86.7836,243.79823327505608,,,
168,4188,BRD1635,PoweredM2DN3,,,,36.1621,-86.7745,242.88169786647924
169,487,BRD2055,PoweredT6VXY,,,,36.1583,-86.7831,133.12587709019897
170,487,BRD2071,PoweredXCJ5I,,,,36.1579,-86.7834,175.4109024125852
171,4596,BRD2153,PoweredQDRMQ,36.158,-86.7839,249.50559186557646,,,
173,4596,BRD2125,PoweredT6VXY,36.1578,-86.7842,139.77322758114522,,,
174,487,BRD2252,PoweredDCP9Y,36.1585,-86.7835,50.63050702115311,,,
175,4422,BRD2435,PoweredRQ797,36.166,-86.7807,241.20050938785818,,,
176,4188,BRD156,PoweredQDRMQ,,,,36.1622,-86.774,160.955493366147
177,125,BRD451,PoweredIVEA4,36.144,-86.7999,104.80820448767312,,,
178,4422,BRD464,PoweredU6KHK,36.1663,-86.781,100.5414630825907,,,
181,4596,BRD460,PoweredTFHB9,,,,36.1574,-86.7851,168.86233199152642
182,4596,BRD1128,PoweredNTCGG,,,,36.1574,-86.7842,170.70605598341967
184,4249,BRD1429,PoweredW6G4Y,,,,36.1497,-86.7999,199.23566506818335
185,4616,BRD1496,PoweredSRU2J,,,,36.1685,-86.7869,50.51223787552857
187,125,BRD1520,Powered964Q3,,,,36.1438,-86.8,182.29148056962427
188,487,BRD1959,PoweredPWLP3,36.1584,-86.7843,223.27248112565692,,,
189,4188,BRD2157,PoweredTFHB9,36.1621,-86.7744,216.89940592734604,,,
190,4188,BRD2178,PoweredS3KLU,36.1615,-86.7731,224.6431895670174,,,
191,4249,BRD279,Powered1I5F3,,,,36.149,-86.8011,246.68096701827955
192,4418,BRD602,Powered5DRE4,,,,36.1667,-86.7827,244.00839858153395
194,4249,BRD772,Powered1AAF9,36.1494,-86.8004,48.70693790635295,,,
195,4188,BRD786,PoweredAISLZ,36.1615,-86.7739,117.80517716001322,,,
196,4188,BRD908,PoweredQMEP8,36.1614,-86.7732,221.86098209136108,,,
197,4188,BRD1200,Powered5PGJF,,,,36.162,-86.7742,147.5816942114313
198,4249,BRD1424,PoweredIR4GX,36.1494,-86.7997,244.8782300471248,,,
199,4188,BRD1342,PoweredM6LIQ,36.1616,-86.7742,148.66260979560286,,,
200,4418,BRD557,PoweredT2UX6,36.1663,-86.7822,126.86086208267,,,
203,114,BRD792,PoweredC81WP,36.1511,-86.7996,171.3426652302616,,,
204,4249,BRD880,PoweredVT2H3,36.1493,-86.801,156.69543749239182,,,
205,4188,BRD926,PoweredV8SI8,36.1619,-86.7742,133.63674894462997,,,
206,125,BRD956,PoweredXVN88,,,,36.1439,-86.7999,141.04983229331202
207,4188,BRD1062,PoweredXKKPE,,,,36.1619,-86.7741,105.49532401128697
208,4596,BRD1275,Powered6YYXQ,36.1578,-86.7843,111.85119589643159,,,
209,4188,BRD1538,PoweredZ5W3E,,,,36.1616,-86.774,101.88417685492041
210,4592,BRD1886,PoweredDX55L,36.1382,-86.8007,184.76689125985487,,,
212,4188,BRD1959,Powered5QM3S,,,,36.162,-86.7744,201.1368868950618
213,4418,BRD1977,Powered5QSQ9,36.166,-86.782,201.43962934396131,,,
216,4188,BRD136,PoweredVZBRL,36.162,-86.7744,201.1368868950618,,,
217,4429,BRD1035,PoweredLFHZJ,,,,36.1659,-86.7822,164.8691128956996
218,4616,BRD1309,PoweredU33BE,,,,36.1682,-86.7866,130.48936254985998
220,4596,BRD2273,Powered9JXYC,36.1577,-86.7844,74.98837077714887,,,
221,4418,BRD2402,Powered8D2IW,36.1661,-86.782,165.4465033439284,,,
224,4429,BRD2400,PoweredG4BDM,36.1659,-86.7822,164.8691128956996,,,
225,4429,BRD2452,Powered515AH,36.1658,-86.7822,195.17414555249027,,,
226,487,BRD2598,PoweredTZIK8,36.1583,-86.7837,51.9337267498077,,,
227,125,BRD2741,PoweredYJ7AQ,,,,36.1442,-86.8,54.078638764502216
228,4188,BRD2766,PoweredJXM5N,,,,36.1619,-86.7743,162.25656012932845
229,487,BRD2795,PoweredTZIK8,,,,36.1585,-86.7836,51.65066254792421
230,487,BRD2796,PoweredVCX73,,,,36.1583,-86.7837,51.9337267498077
231,487,BRD2861,Powered6CK91,,,,36.158,-86.7837,141.36534161651846
232,4596,BRD3132,PoweredAZL1B,,,,36.1574,-86.7847,106.7796642094663
233,4188,BRD3281,PoweredJVIDZ,,,,36.1621,-86.7742,168.43302915704103
235,125,BRD3408,PoweredFJKID,,,,36.1445,-86.7996,107.77936521519104
236,487,BRD3533,Powered4AR6I,,,,36.158,-86.7836,134.68763992637207
237,4596,BRD3857,PoweredSQ9FM,,,,36.1582,-86.7842,229.38308892818597
239,4596,BRD3849,PoweredAZL1B,,,,36.1576,-86.7843,109.44024492795153
240,487,BRD4466,PoweredQYW58,36.1582,-86.7832,118.17466314107304,,,
241,487,BRD4465,PoweredF8NBE,36.1584,-86.7827,249.1856602646159,,,
242,4429,BRD363,PoweredIVEA4,,,,36.1656,-86.782,244.14628030008208
243,125,BRD5090,Powered2SF4V,,,,36.1444,-86.8,61.46686171262115
245,4596,BRD246,Powered9MFQZ,,,,36.1577,-86.7841,163.40403302674062
246,4596,BRD311,Powered9Y3SG,36.1581,-86.7841,221.60746252305609,,,
248,487,BRD479,PoweredE663V,36.1582,-86.784,147.49983879464114,,,
249,4596,BRD513,PoweredU7LFB,36.1574,-86.7853,217.9570801656267,,,
250,487,BRD515,Powered1P2B6,36.1581,-86.7835,98.01182144386429,,,
251,4418,BRD1368,PoweredDNE8Y,36.1667,-86.7817,80.68647295199317,,,
257,4249,BRD1252,Powered1YC5P,,,,36.1498,-86.7998,241.58650461450057
259,4422,BRD1632,Powered759ZF,,,,36.167,-86.7811,186.41735652896995
262,4422,BRD1674,Powered9VHXQ,,,,36.167,-86.7811,186.41735652896995
265,125,BRD1735,PoweredDQ1HI,36.1442,-86.7998,33.91210987967376,,,
266,4596,BRD1790,Powered29A4Y,36.1579,-86.7839,235.19554736823497,,,
268,4418,BRD1796,PoweredUARJJ,,,,36.1659,-86.7818,237.22813107679053
270,4418,BRD1797,PoweredRAE41,,,,36.1659,-86.7817,242.48360843987203
272,4249,BRD1819,PoweredE663V,36.1494,-86.801,144.37887021749913,,,
273,4425,BRD2307,PoweredUBXD6,36.1674,-86.7814,230.92921660101933,,,
275,4596,BRD2406,PoweredTHQWN,,,,36.1571,-86.7844,228.12759957016917
276,4596,BRD2405,PoweredUQGEQ,,,,36.1575,-86.7842,150.79100563441665
277,4596,BRD2654,PoweredA5RBD,36.1574,-86.7851,168.86233199152642,,,
278,4188,BRD3422,Powered3DM4E,36.1621,-86.7744,216.89940592734604,,,
279,4188,BRD3596,PoweredTVFV3,,,,36.162,-86.7744,201.1368868950618
280,4188,BRD3809,Powered51YRQ,,,,36.1621,-86.7738,109.0184313281623
281,4188,BRD4376,PoweredIVEA4,36.1617,-86.7741,106.2513706357462,,,
282,4188,BRD4579,PoweredUSAEX,36.1616,-86.7741,123.97995208270343,,,
283,4418,BRD4925,Powered2UVN8,,,,36.1666,-86.7824,150.24610105047304
286,4418,BRD5058,Powered2UVN8,,,,36.1665,-86.7823,120.53841554499265
290,4422,BRD5181,Powered9WIM9,,,,36.1669,-86.781,161.10556404232963
293,4596,BRD5563,PoweredUGPS9,,,,36.1574,-86.7846,107.10490214996945
294,4188,BRD5630,PoweredWDMWW,,,,36.1624,-86.7741,239.61368024657295
295,4188,BRD5742,PoweredUARJJ,,,,36.162,-86.7741,122.68189666894206
297,4596,BRD6210,PoweredAP5F3,,,,36.1576,-86.7847,35.55888979862714
298,4596,BRD6211,PoweredFASNB,,,,36.1576,-86.7847,35.55888979862714
300,4188,BRD6500,PoweredP9C2I,36.1621,-86.7745,242.88169786647924,,,
301,4188,BRD37,Powered4RTCL,,,,36.162,-86.774,100.30069894817947
302,4596,BRD76,Powered4C7EI,,,,36.1578,-86.7845,60.631562340217
303,4596,BRD2971,PoweredGMUYI,36.1577,-86.7843,104.45119479280218,,,
304,4596,BRD931,Powered22MC8,36.158,-86.7841,198.76113935582694,,,
306,4188,BRD1332,PoweredGHW3B,36.162,-86.7738,72.77134392408227,,,
307,4592,BRD1809,PoweredZXWYJ,,,,36.139,-86.8007,110.25658720980641
311,4429,BRD2668,PoweredM39RY,,,,36.1658,-86.7821,181.84631138904032
312,4188,BRD2675,Powered3HZZV,36.1624,-86.7741,239.61368024657295,,,
313,4616,BRD2740,PoweredT6VXY,,,,36.1686,-86.7867,24.348645203864795
314,4425,BRD2804,PoweredSSICD,36.1672,-86.7812,171.0418124974478,,,
316,4596,BRD2973,Powered5PBMY,36.1577,-86.7844,74.98837077714887,,,
317,4188,BRD3222,PoweredNVQ4F,,,,36.1614,-86.7739,152.62775009747887
318,4429,BRD3430,PoweredSPMPU,36.1656,-86.7819,240.95632822986028,,,
319,4596,BRD4003,PoweredZWNFV,36.1582,-86.7841,247.75289588895882,,,
321,4616,BRD4037,PoweredZ56GV,36.1689,-86.7868,132.8273416603465,,,
322,4418,BRD4102,PoweredVS299,,,,36.1666,-86.7824,150.24610105047304
325,4188,BRD4170,PoweredRJD9H,,,,36.1622,-86.774,160.955493366147
326,4418,BRD4277,Powered6VQ3Z,,,,36.1665,-86.7823,120.53841554499265
329,4596,BRD4355,PoweredPNU3Y,36.1582,-86.7841,247.75289588895882,,,
331,125,BRD4420,PoweredR6YG5,36.1439,-86.8001,158.58402260368794,,,
332,4188,BRD333,PoweredE2EHV,,,,36.162,-86.7742,147.5816942114313
333,4188,BRD334,Powered5DHJ9,,,,36.1619,-86.7743,162.25656012932845
334,4249,BRD679,PoweredUX2J7,36.1498,-86.8009,158.9421087631621,,,
335,4596,BRD1106,PoweredQ2XPK,,,,36.1577,-86.7843,104.45119479280218
337,4188,BRD1109,PoweredISXDY,,,,36.1618,-86.7742,128.86022627845517
338,4188,BRD1161,PoweredWL36E,,,,36.162,-86.7742,147.5816942114313
339,4188,BRD1210,PoweredLLJPD,,,,36.162,-86.7742,147.5816942114313
340,125,BRD1260,PoweredPXIRJ,36.144,-86.7992,217.70677416749632,,,
341,4596,BRD1450,PoweredX7FAH,,,,36.1576,-86.7842,137.85155152054207
342,4596,BRD1288,Powered518T3,,,,36.1577,-86.7843,104.45119479280218
343,4188,BRD1478,PoweredQ4TQR,36.1621,-86.7736,118.64239716848545,,,
344,4188,BRD1565,PoweredHQNS2,36.1612,-86.7734,244.86254325126822,,,
345,4188,BRD1571,Powered8LSLD,36.1621,-86.7744,216.89940592734604,,,
346,4188,BRD1627,PoweredQ5XGK,36.1619,-86.7741,105.49532401128697,,,
347,4596,BRD2074,PoweredLAQZM,,,,36.1575,-86.7846,71.19587369046592
348,4418,BRD2092,PoweredW8BN3,36.1659,-86.7817,242.48360843987203,,,
350,4188,BRD2147,PoweredT5FIG,36.162,-86.7742,147.5816942114313,,,
351,4596,BRD2292,PoweredYZ6EH,,,,36.1576,-86.7844,81.79464606701977
353,4596,BRD427,PoweredYZ6EH,,,,36.158,-86.784,223.62911237036442
355,4596,BRD426,PoweredV2QPN,,,,36.158,-86.784,223.62911237036442
359,4596,BRD457,PoweredMWUV2,,,,36.1577,-86.7844,74.98837077714887
360,487,BRD636,PoweredBLX3S,,,,36.1582,-86.783,171.48769561374579
361,114,BRD632,Powered3TL95,36.1512,-86.7992,73.23755075150808,,,
362,4249,BRD540,PoweredFBZ8I,,,,36.1495,-86.8012,199.69467755416073
363,4188,BRD1303,Powered2VZ9L,36.1613,-86.7736,189.89030275439072,,,
364,4596,BRD1427,PoweredM35PN,,,,36.1581,-86.784,244.15946311871252
366,4596,BRD1426,PoweredRJY1U,,,,36.1577,-86.7846,16.33696116994903
368,4188,BRD1480,PoweredILFBA,36.162,-86.7742,147.5816942114313,,,
369,4188,BRD1529,PoweredD5VMA,36.1619,-86.7743,162.25656012932845,,,
370,4596,BRD146,PoweredNQGZ7,36.1579,-86.7842,154.2884868147753,,,
371,4418,BRD327,PoweredQ6PS9,36.1661,-86.7823,201.67687582864946,,,
374,4249,BRD544,Powered3V7DM,36.1496,-86.8006,46.46639690544544,,,
375,4596,BRD1202,PoweredG6W6Z,,,,36.1578,-86.7844,84.99353166252205
376,4425,BRD1999,PoweredX5PIG,36.1673,-86.7814,194.42731396273334,,,
378,4596,BRD2307,PoweredRHKYQ,36.158,-86.7842,175.33132128897614,,,
380,4592,BRD167,PoweredBE65E,,,,36.1382,-86.8007,184.76689125985487
382,4418,BRD170,Powered46ZQH,36.1664,-86.782,61.3427040621352,,,
391,4418,BRD244,PoweredGMUYI,36.1659,-86.7819,235.573282496463,,,
393,4422,BRD364,Powered4Z8DW,,,,36.1659,-86.7816,244.72217802369425
395,4249,BRD811,PoweredX76D2,,,,36.1499,-86.8009,186.79712704906072
397,4418,BRD1319,Powered2KKPT,36.1659,-86.782,237.59430994442937,,,
399,4188,BRD1450,PoweredVHFA2,,,,36.1619,-86.7742,133.63674894462997
400,4188,BRD1545,PoweredA3T38,,,,36.1616,-86.7738,74.93863802893217
401,4249,BRD1850,Powered49B9H,36.1496,-86.8002,103.52375257374123,,,
402,4418,BRD1877,PoweredJHGYL,,,,36.167,-86.7825,243.79193029347925
404,114,BRD2358,PoweredCP71L,36.1514,-86.7989,128.8500841133047,,,
405,114,BRD2513,PoweredHNY78,36.1514,-86.7993,148.6564361489527,,,
406,4429,BRD203,PoweredAIPE5,,,,36.1658,-86.7819,168.03116591815433
407,114,BRD510,PoweredNT3UJ,,,,36.1514,-86.7987,155.85357000261692
409,114,BRD745,PoweredQ5XGK,36.1516,-86.7986,232.7363530399523,,,
410,4249,BRD1824,Powered5I3DR,,,,36.1497,-86.8001,146.62993712647872
411,4249,BRD1825,PoweredUQE8Q,,,,36.1499,-86.8001,195.17613256972786
413,4188,BRD1976,PoweredY9SCS,,,,36.1622,-86.7737,146.17857763087744
414,4188,BRD2972,PoweredHIZR6,,,,36.1623,-86.7743,240.87334755943905
416,4596,BRD3028,PoweredW2WGQ,36.1578,-86.7842,139.77322758114522,,,
417,4188,BRD3160,Powered62E7E,,,,36.1619,-86.7743,162.25656012932845
419,4188,BRD3163,Powered818AQ,,,,36.162,-86.7744,201.1368868950618
420,4188,BRD3162,PoweredV2QPN,,,,36.162,-86.7744,201.1368868950618
422,4188,BRD3164,PoweredLR18I,,,,36.162,-86.7744,201.1368868950618
424,4596,BRD3313,Powered31GTT,36.158,-86.784,223.62911237036442,,,
427,4188,BRD3505,PoweredEZEGD,,,,36.162,-86.7743,173.9216958877437
428,4596,BRD3642,PoweredLLJPD,36.1576,-86.7846,36.52393519511057,,,
429,4596,BRD3926,PoweredD5VMA,,,,36.1583,-86.7843,246.0288100299833
431,4596,BRD4026,PoweredZ2JSC,,,,36.1575,-86.7847,70.70565142477484
432,4596,BRD4025,Powered21NKZ,,,,36.1577,-86.7847,14.047533255490785
433,4596,BRD191,PoweredG65EY,,,,36.1577,-86.7843,104.45119479280218
434,120,BRD311,Powered7I5QD,,,,36.1377,-86.8007,246.5056232393242
435,120,BRD561,PoweredPWLP3,,,,36.1378,-86.8006,209.00816338772063
436,4188,BRD704,Powered6WQTY,36.162,-86.7744,201.1368868950618,,,
437,4596,BRD934,Powered3L1IZ,,,,36.1579,-86.784,207.54245207707245
440,4596,BRD979,PoweredJEWR3,,,,36.1578,-86.7839,225.93938053742275
443,4188,BRD1257,Powered3NKCI,36.1621,-86.7741,147.10603386407732,,,
444,4592,BRD2080,PoweredMDMMT,,,,36.1384,-86.8006,111.08972044842082
448,4249,BRD2198,Powered88EXW,,,,36.1498,-86.7999,216.00380238508308
449,4596,BRD2252,PoweredNU6UP,,,,36.158,-86.7842,175.33132128897614
452,4596,BRD441,PoweredJALW3,,,,36.1576,-86.7843,109.44024492795153
453,4188,BRD2444,PoweredYVZ62,36.1617,-86.774,79.3644574289527,,,
454,4188,BRD2607,PoweredYVZ62,36.1619,-86.7736,59.70826824692101,,,
455,4188,BRD3422,PoweredPMEPQ,36.162,-86.7742,147.5816942114313,,,
456,4188,BRD3421,PoweredZ6T75,36.162,-86.7742,147.5816942114313,,,
457,4188,BRD3451,PoweredZ6T75,,,,36.1621,-86.7744,216.89940592734604
458,4188,BRD3452,PoweredPMEPQ,,,,36.162,-86.7742,147.5816942114313
459,4616,BRD3459,PoweredCHJ9Z,36.1689,-86.7868,132.8273416603465,,,
460,4188,BRD3753,PoweredZSS93,,,,36.1621,-86.7742,168.43302915704103
462,4596,BRD170,PoweredMI6HN,,,,36.1577,-86.7844,74.98837077714887
463,4188,BRD4703,PoweredIP99A,,,,36.162,-86.774,100.30069894817947
465,4422,BRD4931,PoweredJ77U5,36.1664,-86.7807,161.42432597799296,,,
466,114,BRD97,PoweredP54KE,36.1513,-86.7994,141.8148611774488,,,
467,4422,BRD74,PoweredJ77U5,,,,36.1664,-86.7807,161.42432597799296
468,4188,BRD323,PoweredJZ3XA,,,,36.1613,-86.7734,212.61461880326695
469,4596,BRD468,PoweredJR29W,,,,36.1577,-86.7843,104.45119479280218
470,4188,BRD633,PoweredBW91R,,,,36.1621,-86.7745,242.88169786647924
472,4429,BRD1363,Powered6KXV5,,,,36.1658,-86.7818,168.59931969124702
473,4188,BRD999,Powered1GT96,36.1618,-86.7737,18.608716107400678,,,
474,487,BRD1058,PoweredA2NPK,36.158,-86.7838,153.5142187806214,,,
475,4188,BRD1059,PoweredJZ3XA,,,,36.1612,-86.7736,225.41296407143247
476,4188,BRD1691,PoweredM6LIQ,,,,36.1621,-86.7743,191.93247339309713
477,4596,BRD1697,PoweredTQMXC,36.1579,-86.7842,154.2884868147753,,,
478,4596,BRD1719,Powered8TZYY,36.158,-86.7843,153.99748381628999,,,
479,4596,BRD1721,PoweredEPGHL,36.1582,-86.7842,229.38308892818597,,,
482,4596,BRD1901,PoweredQ69LL,,,,36.1578,-86.7843,111.85119589643159
483,4188,BRD2024,PoweredQ6PS9,,,,36.1613,-86.7737,184.6438803505528
484,4249,BRD2060,PoweredXUYDY,,,,36.1498,-86.801,180.80370783095725
486,4188,BRD2322,PoweredCHJ9Z,36.1617,-86.7737,41.954664456567485,,,
487,4188,BRD2323,PoweredNB4GN,,,,36.1621,-86.7743,191.93247339309713
488,120,BRD2635,PoweredEQDPG,,,,36.1378,-86.8007,210.17040150267917
489,4429,BRD2690,PoweredI84R8,36.1658,-86.7819,168.03116591815433,,,
490,4188,BRD3011,PoweredP4Y9E,,,,36.1615,-86.7738,111.19898753326471
492,4188,BRD3072,Powered4UZ42,36.162,-86.7744,201.1368868950618,,,
493,4596,BRD102,PoweredUV9CH,,,,36.1573,-86.7843,176.5928391409985
494,4188,BRD319,Powered3CQA7,,,,36.1613,-86.7733,228.88132437292074
495,487,BRD342,PoweredPIT6E,,,,36.1582,-86.7838,96.82021806257752
